competition,race_type,sex,host_nation,country,day,month,year,time,latitude,longitude,NOAA_stationid,station_location,station_distance,air_temp,dew_pt,wind_speed,adj_wind_speed,relative_humidity,clouds,diff_req_time,time_zone,solar_rad,heat_index,simp_wetbulb_globetemp,wetbulb_globetemp,world_record,standing_record,first_place,second_place,third_place,,,,,,,,,,,
World Championships,10k,Men,Helsinki,Finland,7,8,1983,20:10:00,60.1674098,24.9425769,2986099999,FI; KATAJALUOTO,7.6,18.5,14.4,3.1,1.3,77.1,6,50,2,0,18.4,20.9,16.4,,,,,,,,,,,,,,,,
World Championships,10k,Men,Rome,Italy,29,8,1987,20:10:00,41.8933203,12.4829321,16239099999,IT; CIAMPINO,14.0,23.0,19.0,2.6,1.1,78.2,7,0,1,0,23.4,25.6,20.8,,,,,,,,,,,,,,,,
Common Wealth,10k,Women,Delhi,India,8,10,2010,21:00:00,28.6517178,77.2219388,42182099999,IN; SAFDARJUNG,7.6,24.6,22.8,0.0,0.0,89.8,8,0,5.5,0,25.5,28.8,23.3,,,,,,,,,,,,,,,,
Common Wealth,10k,Women,Edinburgh,Scotland,28,7,1986,21:00:00,55.9533456,-3.1883749,3160099999,UK; EDINBURGH,11.5,13.5,13.3,1.5,0.6,98.7,8,0,0,27,13.5,17.6,13.1,,,,,,,,,,,,,,,,
Olympic,10k,Women,Seoul,South Korea,30,9,1988,20:56:00,37.5666791,126.978291,47108099999,KS; SEOUL CITY,1.0,13.2,10.0,1.0,0.4,80.9,7,4,9,0,12.7,16.3,11.2,,,,,,,,,,,,,,,,
World Championships,10k,Women,Rome,Italy,4,9,1987,20:10:00,41.8933203,12.4829321,16239099999,IT; CIAMPINO,14.0,19.0,18.0,1.5,0.6,93.9,8,0,1,0,19.4,22.8,18.1,,,,,,,,,,,,,,,,
Common Wealth,20k,Men,Manchester, England,28,7,2002,8:00:00,53.4794892,-2.2451148,3334099999,UK; MANCHESTER,14.1,16.9,13.0,5.1,2.1,77.8,6,0,1,569,16.7,19.4,17.8,01:17:22,1:24:59,1:25:35,1:26:03,1:28:20,,,,,,,,,,,
Common Wealth,20k,Men,Melbourne, Australia,20,3,2006,8:00:00,-37.814217,144.96316,94868099999,AS; MELBOURNE REGIONAL OFFICE,0.4,20.5,11.3,1.5,0.6,55.6,3,60,10,632,20.1,20.8,21.6,01:17:21,1:24:59,1:19:55,1:21:38,1:23:32,,,,,,,,,,,
Common Wealth,20k,Men,Delhi, India,9,10,2010,8:00:00,28.6517178,77.2219388,42182099999,IN; SAFDARJUNG,7.6,33.6,20.1,2.6,1.1,45.3,2,60,5.5,757,36.1,32.3,31.1,01:17:16,1:19:55,1:22:18,1:22:31,1:23:28,,,,,,,,,,,
Common Wealth,20k,Men,Gold Coast, Australia,8,4,2018,7:00:00,-28.002373,153.414598,94580099999,AS; GOLD COAST SEAWAY,7.9,23.9,18.8,6.7,2.8,73.2,6,60,10,498,24.3,26,23.3,01:16:36,1:19:55,1:19:34,1:19:38,1:19:51,,,,,,,,,,,
Common Wealth,20k,Women,Melbourne, Australia,20,3,2006,8:00:00,-37.814217,144.96316,94868099999,AS; MELBOURNE REGIONAL OFFICE,0.4,20.5,11.3,1.5,0.6,55.6,3,60,10,632,20.1,20.8,21.6,01:25:41,1:36:34,1:32:46,1:33:33,1:36:03,,,,,,,,,,,
Common Wealth,20k,Women,Delhi, India,9,10,2010,8:00:00,28.6517178,77.2219388,42182099999,IN; SAFDARJUNG,7.6,33.6,20.1,2.6,1.1,45.3,2,60,5.5,757,36.1,32.3,31.1,01:25:41,1:32:46,1:34:22,1:36:55,1:37:49,,,,,,,,,,,
